,CaseName,ours_TotalRunningTime,ours_RunningTime_1,ours_RunningTime_2,ours_RunningTime_3,ours_RunningTime_4,ours_RunningTime_5,ours_RunningTime_6,ours_DSC_AUC,ours_NSD_AUC,ours_DSC_Final,ours_NSD_Final,ours_DSC_1,ours_DSC_2,ours_DSC_3,ours_DSC_4,ours_DSC_5,ours_DSC_6,ours_NSD_1,ours_NSD_2,ours_NSD_3,ours_NSD_4,ours_NSD_5,ours_NSD_6,spacing,shape,ours_voxel_counts,has_bbox,ours_object_shapes,modality,segvol_DSC_AUC,segvol_NSD_AUC,segvol_DSC_Final,segvol_NSD_Final,segvol_DSC_1,segvol_DSC_2,segvol_DSC_3,segvol_DSC_4,segvol_DSC_5,segvol_DSC_6,segvol_NSD_1,segvol_NSD_2,segvol_NSD_3,segvol_NSD_4,segvol_NSD_5,segvol_NSD_6,vista3d_DSC_AUC,vista3d_NSD_AUC,vista3d_DSC_Final,vista3d_NSD_Final,vista3d_DSC_1,vista3d_DSC_2,vista3d_DSC_3,vista3d_DSC_4,vista3d_DSC_5,vista3d_DSC_6,vista3d_NSD_1,vista3d_NSD_2,vista3d_NSD_3,vista3d_NSD_4,vista3d_NSD_5,vista3d_NSD_6,sammed3d_DSC_AUC,sammed3d_NSD_AUC,sammed3d_DSC_Final,sammed3d_NSD_Final,sammed3d_DSC_1,sammed3d_DSC_2,sammed3d_DSC_3,sammed3d_DSC_4,sammed3d_DSC_5,sammed3d_DSC_6,sammed3d_NSD_1,sammed3d_NSD_2,sammed3d_NSD_3,sammed3d_NSD_4,sammed3d_NSD_5,sammed3d_NSD_6,nninteractive_TotalRunningTime,nninteractive_RunningTime_1,nninteractive_RunningTime_2,nninteractive_RunningTime_3,nninteractive_RunningTime_4,nninteractive_RunningTime_5,nninteractive_RunningTime_6,nninteractive_DSC_AUC,nninteractive_NSD_AUC,nninteractive_DSC_Final,nninteractive_NSD_Final,nninteractive_DSC_1,nninteractive_DSC_2,nninteractive_DSC_3,nninteractive_DSC_4,nninteractive_DSC_5,nninteractive_DSC_6,nninteractive_NSD_1,nninteractive_NSD_2,nninteractive_NSD_3,nninteractive_NSD_4,nninteractive_NSD_5,nninteractive_NSD_6,nninteractive_num_class,nninteractive_runtime_upperbound
0,CT_AMOS_amos_0018,45.841064453125,8.052687406539917,7.54294490814209,7.719990015029907,7.603705883026123,7.466372013092041,7.455364227294922,3.286726134201306,3.589426315368875,0.8328786112888594,0.9119637210358792,0.7769065331400193,0.8101289319712033,0.8160394546066687,0.8219985786624143,0.8271843293021912,0.8328786112888594,0.8445368263123363,0.8806734552983556,0.8915686919971615,0.8977422860606418,0.9037967491439546,0.9119637210358792,[0.84600002 0.84600002 5.        ],"(63, 512, 512)","[15737952    68435    41774    40906     5216     4438   413327    59994
    25564    33707    20782     1212     1584    17292    34245     8644]",True,"[[32, 50, 185, 317, 325, 420], [22, 40, 186, 282, 128, 211], [21, 41, 199, 282, 305, 384], [34, 42, 288, 333, 157, 200], [48, 62, 250, 268, 258, 286], [27, 57, 167, 384, 94, 306], [34, 51, 282, 380, 283, 360], [15, 62, 263, 293, 252, 284], [14, 62, 258, 292, 205, 248], [28, 42, 292, 333, 207, 318], [39, 45, 213, 254, 210, 227], [37, 46, 252, 287, 288, 315], [18, 40, 266, 311, 174, 323], [2, 13, 214, 259, 205, 317], [0, 9, 202, 247, 233, 288]]",CT,3.366378727,3.720169481,0.841594682,0.93004237,0.841594682,0.841594682,0.841594682,0.841594682,0.841594682,0.841594682,0.93004237,0.93004237,0.93004237,0.93004237,0.93004237,0.93004237,2.881070301,3.085844007,0.759177597,0.815485886,0.0,0.606354267,0.697354945,0.748333181,0.752616243,0.759177597,0.0,0.654621747,0.749433316,0.800167343,0.801189531,0.815485886,2.316528919,2.997322724,0.571492022,0.746369061,0.630830596,0.634092311,0.570668927,0.571533488,0.571534338,0.571492022,0.754940812,0.770028364,0.74623263,0.746440156,0.746451225,0.746369061,70.15946054458618,12.869780778884888,11.336196422576904,11.790391445159912,11.288542985916138,11.89215874671936,10.98239016532898,3.4049454594145248,3.6926884876600816,0.8679960349955568,0.941249719085461,0.7646026141046217,0.8301498006514247,0.8397439569501799,0.8529058794343137,0.8632227052065408,0.8679960349955568,0.8544168958268936,0.8951488691147198,0.9125688382010048,0.9247191934053454,0.9372011619536412,0.941249719085461,15.0,1350.0
1,CT_AMOS_amos_0021,42.83924841880798,7.148991823196411,7.07549262046814,7.05524754524231,7.179105997085571,7.189310073852539,7.191100358963013,3.3070878616497708,3.5225053219730937,0.8335486035823274,0.8926375147123214,0.7537454875331872,0.8140328031912837,0.8259274745273981,0.8290717028759185,0.8282979808596487,0.8335486035823274,0.7734247165412558,0.8549601611284718,0.8778643245730094,0.8844968834860479,0.8863452759936395,0.8926375147123214,[0.89200002 0.89200002 5.        ],"(88, 512, 512)","[22169114   202923    40577    43711     7763   317930    88367    55902
    20427    10517      990     1544    28817    75578     4512]",True,"[[34, 63, 148, 357, 290, 409], [28, 48, 165, 242, 167, 242], [26, 45, 161, 235, 290, 361], [58, 81, 213, 241, 247, 293], [37, 63, 148, 368, 121, 296], [44, 61, 208, 355, 261, 364], [17, 87, 208, 240, 253, 283], [14, 64, 231, 258, 228, 258], [34, 43, 264, 304, 246, 278], [45, 51, 196, 231, 221, 251], [41, 47, 229, 249, 296, 310], [27, 45, 246, 302, 209, 362], [3, 13, 188, 310, 209, 327], [0, 5, 202, 251, 245, 296]]",CT,3.278321821,3.554140106,0.819580455,0.888535026,0.819580455,0.819580455,0.819580455,0.819580455,0.819580455,0.819580455,0.888535026,0.888535026,0.888535026,0.888535026,0.888535026,0.888535026,2.86324006,2.954354373,0.725016235,0.751231753,0.0,0.658319399,0.716531859,0.726451715,0.728588669,0.725016235,0.0,0.674942811,0.735081175,0.752845043,0.753340873,0.751231753,2.30009175,2.479925175,0.567673301,0.609985346,0.630489319,0.619577372,0.569838498,0.568668414,0.567959502,0.567673301,0.693769828,0.680543296,0.612777233,0.611279406,0.610604215,0.609985346,71.35872197151184,13.14536952972412,10.90265440940857,11.34289813041687,11.362818479537964,11.957871437072754,12.647109985351562,3.463265072284792,3.707716006757436,0.8634278189159736,0.935864935720796,0.8002674489350737,0.8501251406788665,0.8638689942609256,0.871141903550896,0.8714776946755498,0.8634278189159736,0.8402877579075764,0.9002964945469055,0.9232938784154304,0.9313460151093071,0.934995398098848,0.935864935720796,14.0,1260.0
2,CT_AMOS_amos_0033,46.16596913337708,7.407937526702881,7.611323833465576,7.685936450958252,7.840617179870605,7.769364356994629,7.850789785385132,3.384051682788454,3.731262344379251,0.8606383520726799,0.9510190536181116,0.7827556523168843,0.8119555518212866,0.8386904905274903,0.8518263534048781,0.8572378869091022,0.8606383520726799,0.8515282112606549,0.8968314501811024,0.921211976284587,0.9366375477998374,0.9494875683952196,0.9510190536181116,[0.78200001 0.78200001 5.        ],"(67, 512, 512)","[16764405    57107    45740    48345     6187     4149   412192    51504
    29401    24791    25160     1399     1885    15410    67450     8523]",True,"[[41, 57, 157, 286, 333, 434], [21, 38, 189, 265, 161, 217], [29, 47, 168, 252, 314, 411], [33, 41, 265, 309, 193, 225], [52, 66, 222, 250, 264, 308], [28, 58, 157, 363, 111, 321], [35, 55, 241, 312, 319, 386], [13, 66, 229, 271, 272, 315], [13, 63, 237, 275, 224, 269], [28, 48, 249, 320, 237, 352], [38, 45, 197, 231, 224, 242], [38, 47, 233, 264, 306, 350], [21, 41, 257, 293, 205, 337], [3, 12, 174, 319, 192, 307], [0, 5, 191, 228, 223, 283]]",CT,3.460385138,3.784585556,0.865096284,0.946146389,0.865096284,0.865096284,0.865096284,0.865096284,0.865096284,0.865096284,0.946146389,0.946146389,0.946146389,0.946146389,0.946146389,0.946146389,2.671414562,2.919814443,0.672414231,0.735084483,0.0,0.665122195,0.68248804,0.666868706,0.653289602,0.672414231,0.0,0.7168457,0.742426023,0.730952696,0.720470632,0.735084483,2.46709504,2.956019758,0.615185664,0.735778472,0.623724764,0.627034013,0.615621454,0.615184079,0.615179668,0.615185664,0.754641996,0.761132703,0.736094928,0.735736541,0.735732702,0.735778472,69.38892722129822,11.575516700744627,10.89146327972412,11.117454528808594,11.379567861557009,12.16384220123291,12.261082649230955,3.491578719913135,3.802583478419508,0.8887569214530134,0.967744769693187,0.8278140991934962,0.8505436754182448,0.866108955465677,0.8728632179015917,0.8829562481102372,0.8887569214530134,0.8923708916754628,0.9289013093282849,0.9420524936229012,0.95137493289869,0.960833012387181,0.967744769693187,15.0,1350.0
3,CT_AMOS_amos_0043,44.51582145690918,7.235721588134766,7.394428253173828,7.445899724960327,7.433415412902832,7.458285570144653,7.548070907592773,3.318485290903597,3.653561021060208,0.8548285820117232,0.9341706189637964,0.7889451052815032,0.8168694088986701,0.8138595569996201,0.8248467538303864,0.8439299846183939,0.8548285820117232,0.8492436257663226,0.8780702832826798,0.9018417165313216,0.9154527855566228,0.9301460678490254,0.9341706189637964,[0.84299999 0.84299999 5.        ],"(46, 512, 512)","[11289509    60319    36387    34305     3960     2723   411109   145120
    13530    13570    19062      743     1294    14070    10668     2255]",True,"[[25, 40, 137, 261, 289, 404], [12, 31, 143, 217, 114, 208], [14, 31, 156, 225, 287, 366], [19, 29, 282, 317, 121, 157], [39, 45, 216, 246, 231, 253], [11, 43, 156, 348, 76, 286], [16, 41, 229, 334, 249, 348], [11, 45, 201, 223, 236, 258], [9, 45, 206, 230, 191, 230], [16, 31, 222, 267, 191, 236], [29, 34, 179, 218, 172, 209], [26, 32, 202, 219, 265, 290], [11, 24, 206, 247, 168, 267], [1, 8, 187, 225, 202, 320], [0, 2, 186, 233, 234, 294]]",CT,3.343240816,3.705059541,0.835810204,0.926264885,0.835810204,0.835810204,0.835810204,0.835810204,0.835810204,0.835810204,0.926264885,0.926264885,0.926264885,0.926264885,0.926264885,0.926264885,2.514515896,2.766611044,0.649845208,0.707846728,0.0,0.551761272,0.615064554,0.638574598,0.660073504,0.649845208,0.0,0.627995905,0.684270775,0.696424025,0.717994928,0.707846728,2.512712218,2.989609858,0.626024732,0.75405404,0.610302999,0.625459557,0.638518446,0.623465203,0.624986424,0.626024732,0.704863219,0.728022743,0.746668899,0.749988431,0.751914137,0.75405404,64.7119493484497,11.336034536361694,9.674602031707764,10.540433883666992,11.040611267089844,9.514034509658812,12.6062331199646,3.4270644222096167,3.761468841671573,0.8727549038343595,0.9554334420972456,0.818295198792582,0.8136973530459735,0.8508787245759586,0.8621059198990167,0.8708536492944747,0.8727549038343595,0.9060508630915668,0.907559422286385,0.9400030422049156,0.9381529922867587,0.9518163749880832,0.9554334420972456,15.0,1350.0
4,CT_AMOS_amos_0044,52.68467450141907,8.624529361724854,8.450915813446045,8.908323287963867,8.843521118164062,8.924728393554688,8.932656526565552,2.9508529290589185,3.2520499235184896,0.7675246377610321,0.8468707092299055,0.6388205733855354,0.6861524886466754,0.7220695626756727,0.7397169838497911,0.7622278193296008,0.7675246377610321,0.7039402860246102,0.7560458116829125,0.7907947336564877,0.8151038177969409,0.8446931116086522,0.8468707092299055,[0.5078125 0.5078125 5.       ],"(87, 768, 768)","[49507903   187931   103583   111098    30422    31425   918935    48656
   200793    58044    68584     1825     2310    43179]",True,"[[13, 33, 238, 426, 554, 642], [7, 27, 232, 323, 212, 332], [5, 26, 237, 329, 492, 590], [19, 28, 356, 468, 194, 315], [38, 86, 323, 356, 423, 467], [12, 40, 226, 550, 129, 435], [29, 37, 368, 457, 396, 541], [1, 71, 324, 379, 421, 474], [0, 44, 345, 390, 333, 383], [11, 29, 344, 462, 289, 402], [24, 30, 302, 364, 311, 363], [19, 26, 315, 392, 436, 481], [8, 24, 312, 372, 270, 341]]",CT,3.104163765,3.499981807,0.776040941,0.874995452,0.776040941,0.776040941,0.776040941,0.776040941,0.776040941,0.776040941,0.874995452,0.874995452,0.874995452,0.874995452,0.874995452,0.874995452,2.369050016,2.518715653,0.637723197,0.673038595,0.0,0.503451335,0.574473278,0.603058704,0.620930769,0.637723197,0.0,0.528852523,0.619581753,0.641240767,0.656947574,0.673038595,2.069564678,2.439454346,0.51933171,0.611119784,0.483768751,0.503844503,0.519247308,0.51939468,0.519334584,0.51933171,0.564457617,0.599519527,0.611703468,0.611299274,0.611131949,0.611119784,73.96949815750122,12.70471453666687,13.0877206325531,11.835653066635132,12.758991479873655,11.883506774902344,11.698911666870115,3.2081447816196444,3.539187356020572,0.8218300963595333,0.8974735004442901,0.6734745268794659,0.7537666691322714,0.7997650585078578,0.8049627358960703,0.8156186044698147,0.8218300963595333,0.7382013399675394,0.8402720042859628,0.8841565699708145,0.8879525587045911,0.89820547498004,0.8974735004442901,13.0,1170.0
5,CT_AMOS_amos_0048,56.524980545043945,9.189093351364136,9.48315930366516,9.68318510055542,9.613400936126707,9.445831537246704,9.110310316085815,3.089546634005972,3.4808647444719387,0.785282398320558,0.8903697888989501,0.7187331747895205,0.7539124796873682,0.7609164667078921,0.7749969882042742,0.784035740089842,0.785282398320558,0.7950731335002482,0.8410457882330601,0.8497694254220556,0.8768580276379656,0.8885295028459123,0.8903697888989501,[0.64973956 0.64973956 5.        ],"(65, 768, 768)","[36794126    95320   103606   104526     3036     7693   786876   230802
    53227    34554    40691     1655     1959    41532    28044    10913]",True,"[[39, 56, 204, 346, 432, 611], [18, 42, 277, 393, 203, 317], [19, 43, 262, 369, 451, 558], [46, 51, 403, 458, 232, 281], [51, 64, 328, 367, 367, 406], [35, 63, 218, 558, 137, 445], [43, 60, 273, 503, 368, 561], [14, 64, 310, 362, 358, 410], [10, 61, 345, 384, 320, 372], [27, 46, 371, 445, 314, 378], [41, 45, 303, 364, 287, 355], [38, 46, 322, 347, 411, 446], [23, 47, 363, 391, 277, 325], [4, 9, 328, 401, 315, 415], [0, 4, 302, 354, 340, 402]]",CT,3.307963227,3.72361334,0.826990807,0.930903335,0.826990807,0.826990807,0.826990807,0.826990807,0.826990807,0.826990807,0.930903335,0.930903335,0.930903335,0.930903335,0.930903335,0.930903335,2.155568735,2.608801207,0.530821712,0.650125387,0.0,0.577260783,0.554676925,0.524553893,0.522296669,0.530821712,0.0,0.635433864,0.670762374,0.646171165,0.649088043,0.650125387,2.864535405,3.431953141,0.718077365,0.86180653,0.704709464,0.705562286,0.717546971,0.717515545,0.717653063,0.718077365,0.813661617,0.840473241,0.857305879,0.861722963,0.861784413,0.86180653,73.69328427314758,14.456304550170898,12.568158864974976,11.922188997268677,11.49060559272766,10.979994535446169,12.276031732559204,3.288080292679516,3.66838726632724,0.8481787394710749,0.9428377361952824,0.765609847469405,0.7968665995892361,0.8152461399222037,0.8209560475967591,0.8293554356303979,0.8481787394710749,0.8517600603246192,0.8944920247754979,0.9120377968058948,0.907190995927754,0.9304935931082012,0.9428377361952824,15.0,1350.0
6,CT_AMOS_amos_0072,51.51155352592468,8.102357625961304,8.837999105453491,8.80947732925415,8.537740707397461,8.553625106811523,8.670353651046753,3.1154506214504227,3.4479431251979404,0.7956936939849695,0.8844061320131822,0.7262160611580181,0.7445443067875527,0.7717738560288372,0.7833260239097066,0.7902317411256182,0.7956936939849695,0.8019497473649833,0.821727304408552,0.847825394681264,0.8679739999743095,0.8790770123314997,0.8844061320131822,[0.58854169 0.58854169 5.        ],"(55, 768, 768)","[31258681    99276    94487    64606    13040     4924   606379   122705
    27053    42619    39772     1182     1313    22301    30636    11346]",True,"[[28, 43, 288, 461, 429, 593], [15, 36, 308, 434, 205, 328], [16, 36, 294, 399, 427, 544], [24, 34, 460, 519, 281, 333], [42, 53, 398, 435, 388, 412], [11, 50, 313, 555, 163, 406], [27, 43, 390, 559, 311, 538], [12, 54, 366, 420, 358, 412], [9, 54, 389, 434, 317, 378], [20, 37, 405, 487, 323, 395], [33, 37, 382, 405, 295, 341], [31, 36, 351, 413, 412, 448], [18, 35, 402, 453, 286, 452], [0, 8, 367, 467, 308, 454], [0, 5, 340, 406, 341, 426]]",CT,3.200356748,3.708197277,0.800089187,0.927049319,0.800089187,0.800089187,0.800089187,0.800089187,0.800089187,0.800089187,0.927049319,0.927049319,0.927049319,0.927049319,0.927049319,0.927049319,2.423522706,2.79745408,0.631244496,0.735392836,0.0,0.550850731,0.574388924,0.62928934,0.628796829,0.631244496,0.0,0.623293648,0.667021866,0.727336257,0.723752716,0.735392836,2.378669038,2.918404323,0.594602363,0.729716918,0.590431567,0.594694322,0.594807425,0.594606635,0.594606635,0.594602363,0.721449468,0.72865709,0.729807443,0.729704938,0.729704938,0.729716918,74.25583982467651,14.59592080116272,13.179279804229736,11.63440752029419,11.863280296325684,11.315266370773315,11.66768503189087,3.290406625841917,3.646101682729779,0.8285640823692308,0.9212252646875732,0.7099117955887458,0.7963108458759528,0.8176683877450619,0.830369568754313,0.8299312052199508,0.8285640823692308,0.8187438582628188,0.8926604393391069,0.9028972621576682,0.9148982730440536,0.9213632955147176,0.9212252646875732,15.0,1350.0
7,CT_AMOS_amos_0079,51.93379545211792,8.467700242996216,8.504687070846558,8.45608925819397,8.949337482452393,8.793087005615234,8.76289439201355,2.811526165264664,3.1095123250743004,0.7251317914735596,0.7969602221489361,0.6548641680117354,0.6751513622367911,0.703447549545424,0.6977105483972454,0.7102264904668193,0.7251317914735596,0.7212212229639574,0.7408458222929687,0.7781729038715541,0.7758013299057035,0.7866350690760904,0.7969602221489361,[0.53515625 0.53515625 5.        ],"(53, 768, 768)","[29471615   131920    84171   110636     5423   997308   223799    44807
    32390    41330     1727     2751    46207    47957    18631]",True,"[[36, 52, 169, 336, 489, 635], [24, 43, 181, 282, 196, 336], [24, 47, 166, 279, 438, 548], [47, 52, 304, 369, 357, 417], [21, 50, 218, 478, 129, 539], [16, 48, 367, 444, 454, 521], [13, 52, 266, 324, 348, 405], [10, 52, 270, 322, 296, 359], [21, 40, 316, 394, 310, 384], [36, 42, 275, 320, 296, 340], [36, 45, 272, 311, 416, 470], [17, 31, 251, 335, 259, 430], [3, 9, 325, 474, 276, 476], [0, 4, 327, 425, 334, 432]]",CT,3.026761732,3.475905729,0.756690433,0.868976432,0.756690433,0.756690433,0.756690433,0.756690433,0.756690433,0.756690433,0.868976432,0.868976432,0.868976432,0.868976432,0.868976432,0.868976432,2.304021916,2.433470775,0.635013601,0.659397611,0.0,0.489612195,0.54475431,0.586563852,0.610390856,0.635013601,0.0,0.524735934,0.57867307,0.621575594,0.641155339,0.659397611,2.165264977,2.779336502,0.550572463,0.709926605,0.473755683,0.522911296,0.536810447,0.544302615,0.547410035,0.550572463,0.5986355,0.673973019,0.690172853,0.696186176,0.701027661,0.709926605,82.53211164474487,19.018144845962524,11.868157386779783,10.293238162994385,13.070239543914797,11.701234102249146,16.58109760284424,3.172939186203446,3.560646366924507,0.8135352321537177,0.9126804098838186,0.6898555843906623,0.7420309231951449,0.7780122927080191,0.8025921783791394,0.8145516374418562,0.8135352321537177,0.7829320589970079,0.8251411276100578,0.8760495880458116,0.9006645486258167,0.9150214615059404,0.9126804098838186,14.0,1260.0
8,CT_AMOS_amos_0088,42.712958097457886,7.0428102016448975,7.206332445144653,7.116347789764404,7.453548908233643,6.905900955200195,6.988017797470093,3.153178892476991,3.501266130236279,0.8108047546322426,0.9013202861579968,0.7112143430244832,0.7576829318901325,0.7814106764009225,0.7930252749011295,0.7944990979137512,0.8108047546322426,0.7961535922113748,0.841247389504931,0.871016519962112,0.8824097519785642,0.8765560204641383,0.9013202861579968,[0.74699998 0.74699998 5.        ],"(43, 512, 512)","[10718302    30099    45670    48436      604     2149   262090    65402
    20197    26342    15751      675     1355     7430    19149     8541]",True,"[[25, 37, 212, 312, 329, 410], [19, 35, 172, 256, 126, 191], [20, 37, 181, 256, 301, 377], [26, 30, 283, 304, 207, 225], [37, 42, 271, 310, 255, 286], [16, 40, 196, 352, 94, 358], [9, 37, 269, 330, 245, 355], [13, 42, 261, 290, 245, 274], [11, 42, 255, 303, 200, 254], [18, 31, 258, 316, 228, 367], [32, 34, 219, 264, 184, 223], [32, 35, 237, 266, 282, 318], [19, 26, 257, 307, 195, 309], [2, 8, 213, 271, 194, 309], [0, 5, 203, 251, 224, 280]]",CT,3.039509856,3.486372835,0.759877464,0.871593209,0.759877464,0.759877464,0.759877464,0.759877464,0.759877464,0.759877464,0.871593209,0.871593209,0.871593209,0.871593209,0.871593209,0.871593209,2.119118625,2.438028468,0.529709337,0.613284427,0.0,0.53493901,0.531245661,0.531183398,0.524365392,0.529709337,0.0,0.600319063,0.599060623,0.610511355,0.621654745,0.613284427,2.080064848,2.474239473,0.516222797,0.619531939,0.470196985,0.518499519,0.523448798,0.523362661,0.51589223,0.516222797,0.584938914,0.611306682,0.619665571,0.621088668,0.618065924,0.619531939,63.67003679275513,10.778666257858276,10.499985218048096,10.660236120224,10.202593088150024,10.560823440551758,10.967732667922974,3.23083129680581,3.632782390778864,0.8343415643228745,0.935452318593137,0.7171152991513278,0.7777934817395633,0.797851730463416,0.8119959780755707,0.8149160652356041,0.8343415643228745,0.8267039222656365,0.8861910168012126,0.902572339870316,0.9086944049590048,0.910693978252369,0.935452318593137,15.0,1350.0
9,CT_AMOS_amos_0124,48.20953917503357,7.604637861251831,7.842831373214722,8.309857368469238,8.262972354888916,8.104344367980957,8.084895849227905,3.460924993894183,3.743162270843323,0.8881639704254953,0.9619329110099448,0.7381932371615268,0.7901363562859642,0.8580037580564086,0.8755881290077262,0.8881829434743184,0.8881639704254953,0.7854798900517347,0.8506744799321988,0.92943684938026,0.9438727885932536,0.9635489373987376,0.9619329110099448,[0.949 0.949 5.   ],"(101, 512, 512)","[25694381   119912    30479    30150     3820     6127   422892    47604
    57048    14423    19126      665      870    11989    11475     5583]",True,"[[28, 54, 193, 344, 292, 387], [19, 39, 196, 262, 113, 193], [18, 38, 203, 275, 268, 340], [34, 40, 280, 328, 175, 208], [51, 100, 233, 240, 267, 287], [29, 60, 187, 378, 95, 332], [26, 53, 291, 338, 285, 313], [15, 85, 234, 263, 238, 267], [12, 61, 241, 277, 196, 237], [24, 41, 282, 328, 217, 289], [39, 44, 220, 251, 201, 221], [36, 43, 228, 269, 260, 294], [20, 37, 250, 300, 188, 298], [5, 11, 264, 312, 186, 255], [0, 5, 230, 278, 193, 248]]",CT,3.307451594,3.595059779,0.826862899,0.898764945,0.826862899,0.826862899,0.826862899,0.826862899,0.826862899,0.826862899,0.898764945,0.898764945,0.898764945,0.898764945,0.898764945,0.898764945,2.479641504,2.745458797,0.60456463,0.674173977,0.0,0.614087818,0.621914221,0.622577158,0.625823901,0.60456463,0.0,0.673149933,0.694373294,0.686926742,0.690496806,0.674173977,2.371730313,2.602755499,0.593764862,0.650859912,0.569139295,0.581983611,0.594181033,0.59558879,0.594086254,0.593764862,0.631887347,0.646585733,0.650470738,0.652482282,0.651079657,0.650859912,68.31830549240112,12.24015212059021,11.405380725860596,10.90433382987976,10.855931282043455,11.62968635559082,11.28282117843628,3.635995191726442,3.897054890301833,0.9238324045113756,0.9835942080372444,0.8311665328818602,0.8764013374012147,0.9029025547495492,0.9140878344620444,0.9188879315585534,0.9238324045113756,0.8951739992642629,0.9504073594476344,0.9693950885116174,0.980662668668964,0.9799963493788126,0.9835942080372444,15.0,1350.0
